uplift_Mens E-Mail,uplift_Womens E-Mail,assignment
0.056638104144544454,0.01603326855551765,Mens E-Mail
0.1370366357869212,0.07304957166769332,Mens E-Mail
0.06840364524366899,0.07544571729775898,Womens E-Mail
0.061388716235648066,-0.008902129029792746,Mens E-Mail
0.0887116260567005,0.008541212172407858,Mens E-Mail
0.06418642347525086,0.07001870243241645,Womens E-Mail
0.0610671943728867,0.022751248298010868,Mens E-Mail
0.07304725630456525,0.0778165332386944,Womens E-Mail
0.13886215143050684,0.07884135321528615,Mens E-Mail
0.06349016694565329,0.07131995917861722,Womens E-Mail
0.08711023635792119,0.09790623004163913,Womens E-Mail
0.07451732990021698,0.06014656563154139,Mens E-Mail
0.07233043962296277,0.08662489745399464,Womens E-Mail
0.07682035770381818,0.07368867395912346,Mens E-Mail
0.07859998825806609,0.062407450343103174,Mens E-Mail
0.07304326054626613,0.021758141523903513,Mens E-Mail
0.07293663821042855,0.015175636375738974,Mens E-Mail
0.05742098545426674,-0.022820536016975757,Mens E-Mail
0.12639199050870462,0.07941186717374363,Mens E-Mail
0.04932163964192281,0.028432084672034688,Mens E-Mail
0.06229326996182705,0.062406933940948414,Womens E-Mail
0.065917266867124,0.019848684584230447,Mens E-Mail
0.06486406202008302,-0.00960120451985838,Mens E-Mail
0.07065452454705855,0.06579422056560359,Mens E-Mail
0.0681669885826679,0.014495552571392678,Mens E-Mail
0.0629880281721015,0.06123604954387543,Mens E-Mail
0.06401360736279807,0.07058265292291174,Womens E-Mail
0.08103862653415321,0.09741956022822183,Womens E-Mail
0.07938729175906169,0.08043176487275737,Womens E-Mail
0.03135082531849137,-0.07797728388216718,Mens E-Mail
0.0709026914810966,0.05730994421163019,Mens E-Mail
0.0560122339036378,-0.0002613511363313281,Mens E-Mail
0.07342277554031172,0.073719115409951,Womens E-Mail
0.05265585994971449,0.02668060952068843,Mens E-Mail
0.054642578359230726,-0.03300761511478642,Mens E-Mail
0.065452889439924,0.07958450398669195,Womens E-Mail
0.10165981000442287,0.1098677787609583,Womens E-Mail
0.0864797882274004,0.07480700316197916,Mens E-Mail
0.06983647863420282,0.020504487243617017,Mens E-Mail
0.08302080425551296,0.09874917285485073,Womens E-Mail
0.12227423976712855,0.06365583771126858,Mens E-Mail
0.05116144560142147,-0.040712056757779364,Mens E-Mail
